Id,OV,Item OV,Id Contrato,Tipo,Data de criaчуo,Quantidade,Valor,Requisiчуo de compra,Id Mot. Rec.,Id Centro,Id Local Exp.,Id UF Origem,Id Origem,Id Cliente,Id UF Destino,Id Destino,Id Itinerсrio,Id Grupo Merc.,Id Produto
5532,114193142,10,"5822,0",Venda Estoque,2024-01-25,"800,0","87184,0",,,2171,2171,MT,"9,0",2367381,MT,69,AB3838,B1260,156071
5533,114193820,10,"5525,0",Venda р Ordem BR,2024-01-25,"750,0","541755,0",0020762845,,2168,JS33,MG,"42,0",1105976,PI,140,AC0427,01000,156657
5534,114194194,10,"5719,0",Venda Estoque,2024-01-26,"10,0","8801,0",,,2171,2171,MT,"9,0",2011726,MT,19,AA7925,B1260,156725
5535,114194407,10,"5716,0",Venda Estoque,2024-01-25,"500,0","64400,0",,,2171,2171,MT,"9,0",1422938,MT,84,AB3839,B1260,156007
5536,114194407,20,"5717,0",Venda Estoque,2024-01-25,"75,0","3000,0",,,2171,2171,MT,"9,0",1422938,MT,84,AB3839,B1260,156965
5537,114194425,10,"5819,0",Venda Estoque,2024-01-25,"600,0","85200,0",,,2171,2171,MT,"9,0",1148402,MT,84,AB3839,B1260,156007
5538,114194425,20,"5820,0",Venda Estoque,2024-01-25,"40,0","928,0",,,2171,2171,MT,"9,0",1148402,MT,84,AB3839,B1260,156036
5539,114194427,10,"5725,0",Venda Estoque,2024-01-29,"350,0","142100,0",,,2171,JF60,MT,"13,0",1422140,MT,19,AA6936,B1450,156370
5540,114194434,10,"5718,0",Venda Estoque,2024-01-25,"500,0","65250,0",,51,2171,2171,MT,"9,0",1087927,MT,84,AB3839,B1260,156007
5541,114194438,10,"5531,0",Venda Estoque,2024-01-25,"280,0","7784,0",,,2171,2171,MT,"9,0",1556422,MT,265,,B1260,156007
5542,114194454,10,"5825,0",Venda Estoque,2024-01-29,"199,9","81159,41",,,2171,JF60,MT,"13,0",1771504,MT,182,AA6926,B1450,156370
5543,114194485,20,"5473,0",Venda Estoque,2024-01-11,"1200,0","504000,0",,,2171,JF60,MT,"13,0",1722416,MT,13,AA6929,B1450,156370
5544,114195073,20,"5231,0",Venda Estoque,2023-12-05,"192,0","389515,39",,,2171,JF60,MT,"13,0",2146743,MT,180,AA6906,B1450,156370
5545,114195089,20,"4564,0",Venda Estoque,2023-12-05,"386,0","783088,24",,,2171,JF60,MT,"13,0",1882643,MT,13,AA6929,B1450,156370
5546,114196693,10,"5537,0",Venda Estoque,2024-01-29,"4000,0","34800,0",,,2165,2165,MA,"5,0",1002108,BA,12,AA3997,B1260,155988
5547,114196693,20,"5538,0",Venda Estoque,2024-01-29,"100,0","1200,0",,30,2165,2165,MA,"5,0",1002108,BA,12,AA3997,B1260,156170
5548,114197358,10,"5533,0",Venda Estoque,2024-01-29,"600,0","15468,0",,,2171,2171,MT,"9,0",1962302,MT,216,,B1260,155989
5549,114197502,10,"5931,0",Venda Estoque,2024-01-29,"300,0","9950,3",,,2166,2166,MA,"6,0",1812830,PI,71,AA4020,B1260,156007
5550,114197513,10,"5826,0",Venda Estoque,2024-01-29,"4000,0","632000,0",,,2166,2166,MA,"6,0",1000057,MA,6,AA4021,B1260,156007
5551,114197640,20,"5929,0",Venda Estoque,2024-01-29,"320,0","9008,0",,,2167,2167,TO,"8,0",2013118,TO,2,AA4179,B1260,156007
5552,114197641,10,"5536,0",Venda Estoque,2024-01-29,"160,0","4569,6",,,2167,2167,TO,"8,0",2070491,PA,253,,B1260,156007
5553,114197643,10,"5539,0",Venda Estoque,2024-01-29,"3000,0","10656,0",,,2167,2167,TO,"8,0",2344452,PA,201,,B1260,155987
5554,114197940,30,"5924,0",Venda Estoque,2024-01-29,"500,0","5250,0",,,2171,2171,MT,"9,0",1198085,MT,104,AA6896,B1260,155992
5555,114197940,20,"5925,0",Venda Estoque,2024-01-29,"1000,0","12760,0",,,2171,2171,MT,"9,0",1198085,MT,104,AA6896,B1260,156070
5556,114197940,10,"5926,0",Venda Estoque,2024-01-29,"300,0","2628,0",,,2171,2171,MT,"9,0",1198085,MT,104,AA6896,B1260,156965
5557,114198108,30,"439,0",Venda Estoque,2023-06-30,"11490,0","221711,38",,,2171,2171,MT,"9,0",1779929,MT,32,,B1260,155987
