Id,Itinerário,Distância KM
AB3845,(ORÍGEO)CUIABA->(1928583)COMODORO,650
AA4000,(2165)LEM->S. R. MANGABEIRAS,857
AB4872,(Orígeo)Cuiabá->NOVA MARINGA,376
AA4183,(2167)ARAGUAINA->RIBEIRO GONCALVES,397
AA4111,(2167)ARAGUAINA->ALMAS,675
AB5712,(CLAUDECIR HASSE NOBRES)SAO MIGUEL DO PA,1.100
AB4901,(BOM JESUS)RONDONOPOLIS->(1997249)LUCAS,337
AA6875,(MULTI)RONDONOP.->STA RITA DO TRIVELAT,571
AA6917,(MULTI)RONDONOPOLIS->NOVA UBIRATA,692
AB5204,(MULTI)RONDONOPOLIS->(1884907)PEDRA PRET,30
AB5206,(MULTI)RONDONOPOLIS->(1891782)GUIRATINGA,111
AA6938,(MULTI)RONDONOPOLIS->TANGARA DA SERRA,457
AB5398,(SLC AGRICOLA S.A.)DIAMANTINO->(2344055),370
AB5816,(Orígeo)CUIABA->(2349839)TANGARA DA SERR,245
AB5421,(Orígeo)CUIABA->(1988599)SAO JOSE DO RIO,299
AB4861,(Orígeo)Cuiabá->PEDRA PRETA,243
AB4856,(Orígeo)Cuiabá->JUSCIMEIRA,161
AB5524,(MULTI)URUCUI->(1086930)PALMEIRANTE,540
AB5197,(Orígeo)CUIABA->(1428060)QUERENCIA,740
AB4855,(Orígeo)Cuiabá->JACIARA,147
AB4074,(MULTI)CUIABA->(1850514)DIAMANTINO,182
AB4852,(Orígeo)Cuiabá->GUIRATINGA,324
AA6926,(CIBRA)RONDONOPOLIS->PORTO DOS GAUCHOS,872
AA3785,(FERT)SAO LUIS->C. DE MAGALHAES,1.070
AA3922,(2165)LEM->BAIANOPOLIS,160
AB5596,(MULTI)URUCUI->SANTA RITA DO TOCANTINS,1.537
AB5864,(MULTI)BALSAS->(1196942)PASTOS BONS,263
AB1196,(ORIGEO)ARAGUAINA->(2332536)FORMOSO DO A,594
AB5842,(MULTI)BALSAS->(2020893)COLINAS,359
AB4793,(ORIGEO)ARAGUAINA->(1062858)FORTALEZA DO,220
AB5171,(MULTI)SAO LUIS->(1612955)SAO JOAO DOS P,548
AB5779,(MULTI)ARAGUAINA->(2061865)SEBASTIAO LEA,591
AB5957,(ORIGEO)S.DO.ARAGUAIA->(2331138)S.DO.ARA,923
AA6874,(MULTI)RONDONOP.->SAO JOSE DO RIO CLAR,512
AB5205,(MULTI)RONDONOPOLIS->(1883609)JUSCIMEIRA,62
AA6906,(MULTI)RONDONOPOLIS->JACIARA,76
AA6878,(MULTI)RONDONOPOLIS->AGUA BOA,640
AA4062,(2166)BALSAS->LORETO,160
AB5863,(MULTI)BALSAS->(2342507)NOVA COLINAS,70
AA4033,(2166)BALSAS->CAROLINA,173
AA4195,(2167)ARAGUAINA->SEBASTIAO LEAL,591
AB3835,(Orígeo)CUIABA->(2106392)NOVA CANAA DO N,682
AA4188,(2167)ARAGUAINA->STA M. BARREIRAS,308
AB3836,(Orígeo)CUIABA->(2330216)TERRA NOVA DO N,632
AB4853,(Orígeo)Cuiabá->IPIRANGA DO NORTE,470
AA4179,(2167)ARAGUAINA->PORTO NACIONAL,437
AB4231,(MULTI)RONDONOPOLIS->(1194244)SAPEZAL,726
AB3970,(ORIGEO)CUIABA->(MULTI)CAMPO VERDE,140
AA3923,(2165)LEM->B. GDE DO RIBEIRO,977
AA3830,(FERT)SAO LUIS->STA M. BARREIRAS,1.172
